"direccion";"latitud";"longitud"
"Carrera 6 NO. 7 VIA FLORIAN";5,87534;-73,78292
"KM 0,5 VIA VDA VUELTIADA- FLORIAN";5,80213;-73,97184
"CENTRO URBANO Carrera 1 # 2-96, CLASE: MINIMA";43,46155;-3,81006
"BARRIO LA INMACULADA";8,08095;-73,22052
"Avenida 6 No 7 N -130 ZONA INDUSTRIAL  KM 10 VIA PUERTO SANTANDER";7,9542;-72,50651
"Carrera 7 ENTRE Calle 27 Y 26 BARRIO GRAN COLOMBIA";6,31994;-75,56246
"Calle 3 ENTRE CRS 3 Y 4";6,44165;-73,33712
"ZONA INDUSTRIAL CHAPETON KM 3 VIA AL NEVADO";4,4377;-75,23863
"Carrera 9 Calle 23 BARRIO SANTA MARGARITA MARIA";4,15255;-74,88569
"VDA LA FLORIDA";3,50015;-74,73339
"VDA BALSAS, 1,5 KM VIA SAN CARLOS";6,29522;-75,02812
"Carrera 1 NO 8A - 96 BARRIIO LA POLA";2,38931;-75,89099
"Carrera 14 NO 14 - 00 BARRIO PORVENIR";1,86392;-76,0471
"Calle 7 VIA RIO LUISA";4,01667;-74,88333
"Carrera 5 NO 81S - 45 KM 12 VIA AL SUR";2,77882;-75,25819
"CARRETERA NACIONAL KM 2 ZONA INDUSTRIAL";4,8593;-74,91065
"Carrera 6 BERRIO No 1-74";5,59797;-75,82007
"VDA LA FLORIDA";3,50015;-74,73339
"PALACIO MUNICIPAL";4,14734;-74,72022
"KM 5 VIA A MORELIA";1,61165;-75,61055
"Carrera 43 No 30-05";4,74446;-74,17161
"Avenida CIRCUNVALAR TV 21";2,92095;-75,2852
"VDA CENTRO PROLONGACION Calle 2 da";5,61694;-73,62092
"Carrera 2 ENTRE CLS 12 Y 13 BARRO LAS FERIAS";1,97354;-75,93206
"Calle 13 ENTRE Carrera 6 Y 7";2,89198;-75,43232
"VDA EL TENDIDO VIA A LA GRAN VIA";2,38772;-75,54794
"BARRIO I DE MAYO";19,17599;-99,4255
"KM 1 VIA EL DONCELLO";1,68082;-75,2849
"KM 2 VIA EL AGRADO VDA EL CARMEN";2,26611;-75,80609
"Carrera 9 CON Calle 9";4,29044;-74,80837
"Calle 7 Carrera 2 ESQUINA BARRIO ANDAKY";1,8043;-75,89055
"Carrera 4 VIA VDA EL ARENOSO BARRIO PUERTO LIMON";1,9098;-75,15845
"Calle 6A NO 4-72";3,39134;-74,93229
"KM 1 VIA A FLORENCIA";1,68082;-75,2849
"Calle 44 NO 21-140";10,44588;-73,24902
"CARRETERA PPAL VIA A MANATI KM 2";10,63096;-74,92105
"Calle 11 No 7-17";10,78943;-74,75794
"Carrera 4 No 5 - 68 BARRIO LAS DELICIAS";10,3906;-73,16944
"VIA VDA SAN JOSE DE TABUAJE";8,95641;-73,62158
"Carrera 11 VIA AEROPUERTO - SOLEDAD";10,91755;-74,77499
"CENTRO GANADERO DE GAIRA DETRAS DE LA BOMBA ZUCA";11,24386;-74,21049
"KM 1 VIA A CARRAIPIA";11,25478;-72,36092
"SEXTA ENTRADA 600 MT VIA A CRCOLI";10,86358;-74,77627
"KM 3 VIA ORIENTAL MALAMBO";10,86358;-74,77627
"KM 2 VIA CARRETERA PIVIJAY- FUNDACION";10,44599;-74,40683
"KM 1 VIA A CARRAIPIA";11,25478;-72,36092
"Carrera 18 ENTRE Calle 9 Y 10 BARRIO GALAN";11,54485;-72,90643
"KM 1 MARGEN DERECHA VIA CAÑO ADENTRO";9,56146;-73,3332
"BIBLIOTECA MUNICIPAL 2DO PISO OFC 201";9,00313;-73,97377
"Calle 13 BARRIO  SAN RAMON";10,03825;-73,20211
"Calle LOS  ALMENDROS No 3 A 26";9,43462;-74,70383
"BARRIO LA QUINTA  - ALCALDIA MUNICIPAL";8,2928;-73,3855
"KM 2 VIA CERETE SAN PELAYO";8,88655;-75,79153
"Calle 29 No. 36A - 54";8,74096;-75,86189
"CARRETERA LA TRONCAL";10,34705;-75,23487
